FIELD,ID,RA_y,DEC_y,z_50_y,HeII-4687_FLUX,HeII-4687_FLUX_ERR,NeV-3426_FLUX,NeV-3426_FLUX_ERR,Ha_FLUX_y,Ha_FLUX_ERR_y,Hb_FLUX_y,Hb_FLUX_ERR_y,NeIII-3867_FLUX_y,NeIII-3867_FLUX_ERR_y,OII_FLUX_y,OII_FLUX_ERR_y,OIII_FLUX_y,OIII_FLUX_ERR_y,DL,NeV_L_ERR,NeV_L,HeII_L_ERR,HeII_L,id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,restUjohnson,restVjohnson,LOG_X_FLUX,LOG_X_LUM,X_CLASS
GN1,37738,189.28118519999998,62.363287629000006,1.450627992173246,-99.0,-99.0,13.177380172855301,1.30712833935438,45.4352189874349,1.0331382397518,8.09268879458132,0.9520669908288469,4.522834028297661,0.6577779748535449,21.9916567805464,0.7587287322395171,75.56912385467898,1.32558026574065,10676.99332347836,1.7828245343986406e+41,1.797295335427302e+42,-1.3502853820202728e+43,-1.3502853820202728e+43,37738,189.28118997,62.36328306,177.5,177.5,3.4930000000000003,1.63539,0,0.11801400000000001,0.025741000000000003,0.5,2.59124,4.060569999999999,-22.123335,-23.163199,1.45224,-1.0,2,1.5271,11.07,106.046,1.56586,160.959,-1.5662,,,-13.617983,44.488551,b'AGN'
GN2,19913,189.14832276,62.24000089900001,2.010370267224622,10.254366703106099,1.23824467766201,14.7211905615392,1.91158469086823,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.1428069575365605,5.294912673647071,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176465,5.837718029717117e+41,4.495650125810866e+42,3.7814297815419446e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.8249400000000002,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,,-14.723538,43.920123,b'AGN'
GN2,19913,189.14832276,62.24000089900001,2.010370267224622,10.254366703106099,1.23824467766201,14.7211905615392,1.91158469086823,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.1428069575365605,5.294912673647071,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176465,5.837718029717117e+41,4.495650125810866e+42,3.7814297815419446e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.8249400000000002,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,,-14.723538,43.920123,b'AGN'
GN7,19913,189.14832276,62.24000089900001,2.010370267224622,10.254366703106099,1.23824467766201,14.7211905615392,1.91158469086823,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.1428069575365605,5.294912673647071,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176465,5.837718029717117e+41,4.495650125810866e+42,3.7814297815419446e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.8249400000000002,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,,-14.723538,43.920123,b'AGN'
GN7,19913,189.14832276,62.24000089900001,2.010370267224622,10.254366703106099,1.23824467766201,14.7211905615392,1.91158469086823,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.1428069575365605,5.294912673647071,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176465,5.837718029717117e+41,4.495650125810866e+42,3.7814297815419446e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.8249400000000002,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,,-14.723538,43.920123,b'AGN'
GN2,18197,189.21988615,62.23178554000002,1.359751093923414,-99.0,-99.0,5.981806417646738,3.1346239285722,88.81606725134078,0.8732872338070979,11.5928796836098,1.68814044867371,6.64622043156399,1.5035985958905198,55.7858724295688,1.28122550834748,111.936710680061,1.86604756846455,9853.326515758772,3.6411923591728785e+41,6.9484915314570636e+41,-1.1499881701034245e+43,-1.1499881701034245e+43,18197,189.21989591,62.23179425,72.7503,72.7503,0.2,0.164945,2,0.326946,0.050888199999999995,0.3,3.19725,4.13406,-21.841556,-22.224012,1.355,1.355,1,1.3416,9.94,103.295,5.20975,54.7798,-1.4982,,,-16.210419,41.968483,b'AGN'
GN2,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,,-16.12436,42.640481,b'AGN'
GN2,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,,-16.12436,42.640481,b'AGN'
GN2,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387,-16.12436,42.640481,b'AGN'
GN2,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387,-16.12436,42.640481,b'AGN'
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,,-16.12436,42.640481,b'AGN'
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,,-16.12436,42.640481,b'AGN'
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387,-16.12436,42.640481,b'AGN'
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387,-16.12436,42.640481,b'AGN'
GN2,25505,189.26185836,62.266997331999995,1.5749464339361632,-99.0,-99.0,0.59361115040366,0.9527963459171079,16.6160443027833,3.1334217814862497,3.68694955490845,0.908354142343621,0.752117410194911,0.7343580770509799,5.49315413451138,0.8225112539087459,25.270314806302494,1.04754876592753,11822.270292740293,1.5932879841589542e+41,9.926502313467184e+40,-1.655500790989172e+43,-1.655500790989172e+43,25505,189.26186452,62.26699791,17.8004,17.8004,8.0,8.62474,2,0.09171599999999999,0.0432774,0.7,0.10767,0.35555,-19.945532,-21.14927,1.5761,1.5761,1,1.5811,10.02,16.4591,1.5104899999999999,16.0276,-0.3487,,,-14.647817,43.588832,b'AGN'
