# ID   log(Xflux)   log(Xlum)   Xclass
       35831      -99.000000      -99.000000   -
       35921      -99.000000      -99.000000   -
       35933      -99.000000      -99.000000   -
       35935      -99.000000      -99.000000   -
       35952      -99.000000      -99.000000   -
       35959      -99.000000      -99.000000   -
       36067      -99.000000      -99.000000   -
       36114      -99.000000      -99.000000   -
       36158      -99.000000      -99.000000   -
       36203      -99.000000      -99.000000   -
       36243      -99.000000      -99.000000   -
       36303      -99.000000      -99.000000   -
       36382      -99.000000      -99.000000   -
       36420      -99.000000      -99.000000   -
       36435      -99.000000      -99.000000   -
       36456      -99.000000      -99.000000   -
       36514      -99.000000      -99.000000   -
       36521      -99.000000      -99.000000   -
       36552      -99.000000      -99.000000   -
       36556      -99.000000      -99.000000   -
       36577      -99.000000      -99.000000   -
       36596      -99.000000      -99.000000   -
       36613      -99.000000      -99.000000   -
       36623      -99.000000      -99.000000   -
       36651      -99.000000      -99.000000   -
       36663      -99.000000      -99.000000   -
       36681      -99.000000      -99.000000   -
       36717      -99.000000      -99.000000   -
       36733      -99.000000      -99.000000   -
       36735      -99.000000      -99.000000   -
       36736      -99.000000      -99.000000   -
       36738      -99.000000      -99.000000   -
       36761      -99.000000      -99.000000   -
       36773      -99.000000      -99.000000   -
       36783      -99.000000      -99.000000   -
       36786      -99.000000      -99.000000   -
       36788      -99.000000      -99.000000   -
       36795      -99.000000      -99.000000   -
       36808      -99.000000      -99.000000   -
       36809      -99.000000      -99.000000   -
       36812      -99.000000      -99.000000   -
       36813      -99.000000      -99.000000   -
       36819      -99.000000      -99.000000   -
       36856      -99.000000      -99.000000   -
       36860      -99.000000      -99.000000   -
       36876      -99.000000      -99.000000   -
       36880      -99.000000      -99.000000   -
       36889      -99.000000      -99.000000   -
       36890      -99.000000      -99.000000   -
       36895      -99.000000      -99.000000   -
       36900      -99.000000      -99.000000   -
       36917      -99.000000      -99.000000   -
       36920      -99.000000      -99.000000   -
       36926      -99.000000      -99.000000   -
       36928      -99.000000      -99.000000   -
       36935      -99.000000      -99.000000   -
       36936      -99.000000      -99.000000   -
       36968      -99.000000      -99.000000   -
       36985      -99.000000      -99.000000   -
       37006      -99.000000      -99.000000   -
       37018      -99.000000      -99.000000   -
       37019      -99.000000      -99.000000   -
       37023      -99.000000      -99.000000   -
       37031      -99.000000      -99.000000   -
       37037      -99.000000      -99.000000   -
       37052      -99.000000      -99.000000   -
       37053      -99.000000      -99.000000   -
       37060      -99.000000      -99.000000   -
       37062      -99.000000      -99.000000   -
       37065      -99.000000      -99.000000   -
       37067      -99.000000      -99.000000   -
       37072      -99.000000      -99.000000   -
       37074      -99.000000      -99.000000   -
       37076      -99.000000      -99.000000   -
       37096      -99.000000      -99.000000   -
       37102      -99.000000      -99.000000   -
       37107      -15.389340       42.957128   AGN
       37114      -99.000000      -99.000000   -
       37135      -99.000000      -99.000000   -
       37156      -99.000000      -99.000000   -
       37167      -99.000000      -99.000000   -
       37170      -99.000000      -99.000000   -
       37177      -99.000000      -99.000000   -
       37189      -99.000000      -99.000000   -
       37192      -99.000000      -99.000000   -
       37193      -99.000000      -99.000000   -
       37204      -99.000000      -99.000000   -
       37205      -99.000000      -99.000000   -
       37206      -99.000000      -99.000000   -
       37208      -99.000000      -99.000000   -
       37214      -99.000000      -99.000000   -
       37217      -99.000000      -99.000000   -
       37220      -99.000000      -99.000000   -
       37233      -99.000000      -99.000000   -
       37237      -99.000000      -99.000000   -
       37243      -99.000000      -99.000000   -
       37247      -99.000000      -99.000000   -
       37253      -99.000000      -99.000000   -
       37256      -99.000000      -99.000000   -
       37258      -99.000000      -99.000000   -
       37261      -99.000000      -99.000000   -
       37267      -99.000000      -99.000000   -
       37269      -99.000000      -99.000000   -
       37271      -99.000000      -99.000000   -
       37272      -99.000000      -99.000000   -
       37274      -99.000000      -99.000000   -
       37276      -99.000000      -99.000000   -
       37279      -99.000000      -99.000000   -
       37282      -99.000000      -99.000000   -
       37288      -99.000000      -99.000000   -
       37291      -99.000000      -99.000000   -
       37295      -99.000000      -99.000000   -
       37296      -99.000000      -99.000000   -
       37299      -99.000000      -99.000000   -
       37304      -99.000000      -99.000000   -
       37306      -99.000000      -99.000000   -
       37307      -99.000000      -99.000000   -
       37314      -99.000000      -99.000000   -
       37316      -99.000000      -99.000000   -
       37330      -99.000000      -99.000000   -
       37340      -99.000000      -99.000000   -
       37343      -99.000000      -99.000000   -
       37347      -99.000000      -99.000000   -
       37349      -99.000000      -99.000000   -
       37358      -99.000000      -99.000000   -
       37363      -99.000000      -99.000000   -
       37366      -99.000000      -99.000000   -
       37367      -99.000000      -99.000000   -
       37371      -99.000000      -99.000000   -
       37375      -99.000000      -99.000000   -
       37382      -99.000000      -99.000000   -
       37392      -99.000000      -99.000000   -
       37395      -99.000000      -99.000000   -
       37399      -99.000000      -99.000000   -
       37402      -99.000000      -99.000000   -
       37403      -99.000000      -99.000000   -
       37406      -99.000000      -99.000000   -
       37411      -99.000000      -99.000000   -
       37413      -99.000000      -99.000000   -
       37421      -99.000000      -99.000000   -
       37422      -99.000000      -99.000000   -
       37424      -99.000000      -99.000000   -
       37435      -99.000000      -99.000000   -
       37444      -99.000000      -99.000000   -
       37451      -99.000000      -99.000000   -
       37454      -99.000000      -99.000000   -
       37458      -99.000000      -99.000000   -
       37460      -99.000000      -99.000000   -
       37462      -99.000000      -99.000000   -
       37464      -99.000000      -99.000000   -
       37468      -14.892790       44.079181   AGN
       37469      -99.000000      -99.000000   -
       37471      -99.000000      -99.000000   -
       37473      -99.000000      -99.000000   -
       37477      -99.000000      -99.000000   -
       37484      -99.000000      -99.000000   -
       37486      -99.000000      -99.000000   -
       37494      -99.000000      -99.000000   -
       37495      -99.000000      -99.000000   -
       37503      -99.000000      -99.000000   -
       37506      -99.000000      -99.000000   -
       37508      -99.000000      -99.000000   -
       37510      -99.000000      -99.000000   -
       37511      -99.000000      -99.000000   -
       37513      -99.000000      -99.000000   -
       37516      -99.000000      -99.000000   -
       37518      -99.000000      -99.000000   -
       37521      -99.000000      -99.000000   -
       37522      -99.000000      -99.000000   -
       37525      -99.000000      -99.000000   -
       37532      -99.000000      -99.000000   -
       37533      -99.000000      -99.000000   -
       37541      -99.000000      -99.000000   -
       37542      -99.000000      -99.000000   -
       37551      -99.000000      -99.000000   -
       37553      -99.000000      -99.000000   -
       37555      -99.000000      -99.000000   -
       37558      -99.000000      -99.000000   -
       37567      -99.000000      -99.000000   -
       37576      -99.000000      -99.000000   -
       37582      -99.000000      -99.000000   -
       37584      -99.000000      -99.000000   -
       37586      -99.000000      -99.000000   -
       37587      -99.000000      -99.000000   -
       37588      -99.000000      -99.000000   -
       37590      -99.000000      -99.000000   -
       37592      -99.000000      -99.000000   -
       37601      -99.000000      -99.000000   -
       37602      -99.000000      -99.000000   -
       37605      -99.000000      -99.000000   -
       37612      -99.000000      -99.000000   -
       37614      -99.000000      -99.000000   -
       37615      -99.000000      -99.000000   -
       37620      -99.000000      -99.000000   -
       37623      -13.872895       43.704151   AGN
       37624      -99.000000      -99.000000   -
       37629      -99.000000      -99.000000   -
       37631      -99.000000      -99.000000   -
       37633      -99.000000      -99.000000   -
       37635      -99.000000      -99.000000   -
       37636      -99.000000      -99.000000   -
       37643      -99.000000      -99.000000   -
       37645      -99.000000      -99.000000   -
       37647      -99.000000      -99.000000   -
       37651      -99.000000      -99.000000   -
       37658      -99.000000      -99.000000   -
       37666      -99.000000      -99.000000   -
       37668      -99.000000      -99.000000   -
       37671      -99.000000      -99.000000   -
       37674      -99.000000      -99.000000   -
       37683      -99.000000      -99.000000   -
       37686      -99.000000      -99.000000   -
       37691      -99.000000      -99.000000   -
       37697      -99.000000      -99.000000   -
       37700      -99.000000      -99.000000   -
       37701      -99.000000      -99.000000   -
       37702      -99.000000      -99.000000   -
       37706      -99.000000      -99.000000   -
       37710      -99.000000      -99.000000   -
       37711      -99.000000      -99.000000   -
       37712      -99.000000      -99.000000   -
       37717      -99.000000      -99.000000   -
       37719      -99.000000      -99.000000   -
       37721      -99.000000      -99.000000   -
       37729      -99.000000      -99.000000   -
       37736      -99.000000      -99.000000   -
       37738      -13.617983       44.488551   AGN
       37749      -99.000000      -99.000000   -
       37750      -99.000000      -99.000000   -
       37753      -99.000000      -99.000000   -
       37761      -99.000000      -99.000000   -
       37762      -99.000000      -99.000000   -
       37765      -99.000000      -99.000000   -
       37767      -99.000000      -99.000000   -
       37770      -99.000000      -99.000000   -
       37772      -99.000000      -99.000000   -
       37781      -99.000000      -99.000000   -
       37786      -99.000000      -99.000000   -
       37787      -99.000000      -99.000000   -
       37792      -99.000000      -99.000000   -
       37793      -99.000000      -99.000000   -
       37798      -99.000000      -99.000000   -
       37802      -99.000000      -99.000000   -
       37805      -99.000000      -99.000000   -
       37807      -99.000000      -99.000000   -
       37809      -99.000000      -99.000000   -
       37810      -99.000000      -99.000000   -
       37812      -99.000000      -99.000000   -
       37813      -15.173277       42.661813   AGN
       37814      -99.000000      -99.000000   -
       37819      -99.000000      -99.000000   -
       37820      -99.000000      -99.000000   -
       37821      -99.000000      -99.000000   -
       37824      -99.000000      -99.000000   -
       37830      -99.000000      -99.000000   -
       37831      -99.000000      -99.000000   -
       37834      -99.000000      -99.000000   -
       37835      -99.000000      -99.000000   -
       37836      -99.000000      -99.000000   -
       37837      -99.000000      -99.000000   -
       37840      -99.000000      -99.000000   -
       37847      -99.000000      -99.000000   -
       37850      -99.000000      -99.000000   -
       37852      -99.000000      -99.000000   -
       37854      -99.000000      -99.000000   -
       37859      -99.000000      -99.000000   -
       37860      -99.000000      -99.000000   -
       37863      -99.000000      -99.000000   -
       37864      -99.000000      -99.000000   -
       37878      -99.000000      -99.000000   -
       37882      -99.000000      -99.000000   -
       37887      -99.000000      -99.000000   -
       37889      -99.000000      -99.000000   -
