# ID   log(Xflux)   log(Xlum)   Xclass
       36794      -99.000000      -99.000000   -
       37764      -99.000000      -99.000000   -
       37792      -99.000000      -99.000000   -
       37800      -99.000000      -99.000000   -
       37812      -14.950782       42.937518   AGN
       37939      -15.371611       43.025306   AGN
       38084      -99.000000      -99.000000   -
       38105      -99.000000      -99.000000   -
       38124      -99.000000      -99.000000   -
       38140      -99.000000      -99.000000   -
       38165      -99.000000      -99.000000   -
       38209      -99.000000      -99.000000   -
       38322      -99.000000      -99.000000   -
       38326      -99.000000      -99.000000   -
       38365      -99.000000      -99.000000   -
       38398      -99.000000      -99.000000   -
       38466      -99.000000      -99.000000   -
       38493      -99.000000      -99.000000   -
       38560      -99.000000      -99.000000   -
       38571      -99.000000      -99.000000   -
       38763      -99.000000      -99.000000   -
       38767      -99.000000      -99.000000   -
       38783      -99.000000      -99.000000   -
       38798      -99.000000      -99.000000   -
       38818      -99.000000      -99.000000   -
       38832      -99.000000      -99.000000   -
       38867      -99.000000      -99.000000   -
       38876      -99.000000      -99.000000   -
       38893      -99.000000      -99.000000   -
       39012      -99.000000      -99.000000   -
       39021      -99.000000      -99.000000   -
       39038      -99.000000      -99.000000   -
       39042      -99.000000      -99.000000   -
       39048      -99.000000      -99.000000   -
       39071      -99.000000      -99.000000   -
       39085      -99.000000      -99.000000   -
       39106      -99.000000      -99.000000   -
       39116      -99.000000      -99.000000   -
       39134      -99.000000      -99.000000   -
       39141      -99.000000      -99.000000   -
       39162      -99.000000      -99.000000   -
       39170      -99.000000      -99.000000   -
       39172      -99.000000      -99.000000   -
       39241      -99.000000      -99.000000   -
       39273      -99.000000      -99.000000   -
       39278      -99.000000      -99.000000   -
       39289      -99.000000      -99.000000   -
       39302      -99.000000      -99.000000   -
       39314      -99.000000      -99.000000   -
       39325      -99.000000      -99.000000   -
       39326      -99.000000      -99.000000   -
       39348      -99.000000      -99.000000   -
       39358      -99.000000      -99.000000   -
       39364      -15.645892       42.900913   AGN
       39377      -99.000000      -99.000000   -
       39406      -99.000000      -99.000000   -
       39433      -99.000000      -99.000000   -
       39460      -99.000000      -99.000000   -
       39505      -99.000000      -99.000000   -
       39568      -99.000000      -99.000000   -
       39617      -99.000000      -99.000000   -
       39631      -99.000000      -99.000000   -
       39634      -99.000000      -99.000000   -
       39649      -99.000000      -99.000000   -
       39656      -99.000000      -99.000000   -
       39670      -99.000000      -99.000000   -
       39684      -99.000000      -99.000000   -
       39689      -99.000000      -99.000000   -
       39707      -99.000000      -99.000000   -
       39745      -99.000000      -99.000000   -
       39764      -99.000000      -99.000000   -
       39801      -99.000000      -99.000000   -
       39807      -99.000000      -99.000000   -
       39826      -99.000000      -99.000000   -
       39847      -99.000000      -99.000000   -
       39868      -15.591760       41.557507   Galaxy
       39884      -99.000000      -99.000000   -
       39896      -99.000000      -99.000000   -
       39933      -99.000000      -99.000000   -
       39939      -99.000000      -99.000000   -
       39946      -99.000000      -99.000000   -
