FIELD,ID,RA_y,DEC_y,z_50_y,HeII-4687_FLUX,HeII-4687_FLUX_ERR,NeV-3426_FLUX,NeV-3426_FLUX_ERR,Ha_FLUX_y,Ha_FLUX_ERR_y,Hb_FLUX_y,Hb_FLUX_ERR_y,NeIII-3867_FLUX_y,NeIII-3867_FLUX_ERR_y,OII_FLUX_y,OII_FLUX_ERR_y,OIII_FLUX_y,OIII_FLUX_ERR_y,DL,NeV_L_ERR,NeV_L,HeII_L_ERR,HeII_L,id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,restUjohnson,restVjohnson
GN1,37767,189.29601256,62.362755877,1.5181166536901984,3.3313491700449402,0.4567347843981791,1.52612311748945,0.454641884376928,-99.0,-99.0,3.23187438067096,0.432024655900504,0.496807568757852,0.264843339006064,1.4025668478091398,0.298862627937649,5.513787345590671,0.490556847205907,11296.190166871618,6.941061016439012e+40,2.329946720947112e+41,6.973013520702272e+40,5.0860025551835916e+41,37767,189.29602421,62.36274835,7.22404,4.795,0.9279,0.8233280000000001,0,0.12738,0.029608299999999997,0.2,0.22573000000000001,0.27626999999999996,-18.893320000000003,-19.329368,1.6203,-1.0,3,1.6203,9.08,7.22404,0.334908,-22.5509,-1.4866,,
GN2,19913,189.14832276,62.24000089900001,2.010370267224622,10.254366703106099,1.23824467766201,14.7211905615392,1.91158469086823,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.1428069575365605,5.294912673647071,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176465,5.837718029717117e+41,4.495650125810866e+42,3.7814297815419446e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.8249400000000002,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,
GN7,19913,189.14832276,62.24000089900001,2.010370267224622,10.254366703106099,1.23824467766201,14.7211905615392,1.91158469086823,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.1428069575365605,5.294912673647071,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176465,5.837718029717117e+41,4.495650125810866e+42,3.7814297815419446e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.8249400000000002,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,
GN2,20177,189.16946393,62.241354916000006,1.393534841633599,3.86817118594586,0.39333955205428495,11.5053981785291,1.81559830775368,-99.0,-99.0,7.0232388242024895,0.564119557996561,1.73293227146337,1.25120325138523,3.4323226224798904,0.8768578147076608,8.657331076061519,0.5505861344077541,10158.123301863105,2.2415021442961492e+41,1.4204339461001962e+42,4.85609314351587e+40,4.7755684562901336e+41,20177,53.220026399999995,-27.8174011,0.08922730000000001,0.08794,1.8947,1.4248100000000001,1,0.6917399999999999,0.307053,0.2,0.0384302,0.097398,,,0.7888,-1.0,3,0.7888,7.64,0.08922730000000001,0.00377758,-2.95951,-2.1108,-15.957566,-16.528747
GN2,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,
GN2,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,189.26806908,62.24617887,269.557,269.557,8.0,2.0441,2,0.17274,0.025137700000000002,0.1,0.65354,0.68497,-21.467971,-22.57789,2.214,2.214,1,1.3993,10.52,364.967,2.5340599999999998,258.49,-0.6099,,
GN4,21290,189.26806046,62.246179592,2.2164786062524704,1.52284133524926,0.7896820069109739,8.83993386311316,1.03551340169217,-99.0,-99.0,5.901042662462079,0.8097102151220639,6.72693887734339,1.06186835654426,7.71148800768648,1.15095632010372,75.80635188315341,1.1572383215869,18007.467502131556,4.017477308696104e+41,3.4296256955628296e+42,3.0637262044760518e+41,5.9081615931872675e+41,21290,53.0426259,-27.811389600000002,0.00475576,0.015130000000000001,0.9194,0.280575,0,0.17535599999999998,0.016851599999999998,0.0,0.0557591,0.177404,,,0.3778,-1.0,3,0.3778,7.63,0.00475576,0.0008883989999999999,-0.09436699999999999,-0.7508,-12.640089999999999,-13.830387
GN2,21534,189.18347312,62.247397338999995,1.777281839014459,2.14960886786881,0.942854882647144,0.32397619739631,0.6413993055331619,-99.0,-99.0,2.02573236938413,0.8748643061769571,1.5876097541724,0.575690031802193,4.7647299991389005,0.536334892953355,1.32472302491099,0.9535060263687621,13727.192380370245,1.4460534797489683e+41,7.304138055019312e+40,2.125693888640663e+41,4.846356016704821e+41,21534,189.18347507,62.24739797,438.64300000000003,438.64300000000003,0.5863,0.500219,0,0.286698,0.06520190000000001,1.4,0.2804,0.7531100000000001,-21.608322,-22.489345999999998,2.095,2.095,1,1.7914,10.77,790.086,7.89215,429.63599999999997,-0.3037,,
GN2,21534,189.18347312,62.247397338999995,1.777281839014459,2.14960886786881,0.942854882647144,0.32397619739631,0.6413993055331619,-99.0,-99.0,2.02573236938413,0.8748643061769571,1.5876097541724,0.575690031802193,4.7647299991389005,0.536334892953355,1.32472302491099,0.9535060263687621,13727.192380370245,1.4460534797489683e+41,7.304138055019312e+40,2.125693888640663e+41,4.846356016704821e+41,21534,53.188245499999994,-27.809959999999997,0.623976,1.39,1.3169,0.864943,2,0.182856,0.0822648,0.0,0.0375851,0.0380233,,,1.2176,-1.0,3,1.2176,7.79,0.623976,0.0861442,-20.4725,-1.0202,-17.20456,-17.69049
GN2,19235,189.13854002,62.23644663100001,1.43080775818793,17.5356641496124,6.23463086844641,10.391536101930999,4.5466831254284905,-99.0,-99.0,11.6815008592099,4.03625907523494,-99.0,-99.0,6.81840775667204,18.573176381645897,-99.0,-99.0,10496.337678506523,5.993254289101516e+41,1.369770370953262e+42,8.218238914496534e+41,2.3114805117852524e+42,19235,189.13854439,62.23644449,10.8916,15.2,1.3894,0.132358,0,0.196104,0.00717835,0.0,0.9491,1.2456399999999999,-20.559438,-20.98358,1.3448,1.3448,1,1.3166,9.52,10.8916,1.5281,-16.5569,-1.4669,,
GN7,19235,189.13854002,62.23644663100001,1.43080775818793,17.5356641496124,6.23463086844641,10.391536101930999,4.5466831254284905,-99.0,-99.0,11.6815008592099,4.03625907523494,-99.0,-99.0,6.81840775667204,18.573176381645897,-99.0,-99.0,10496.337678506523,5.993254289101516e+41,1.369770370953262e+42,8.218238914496534e+41,2.3114805117852524e+42,19235,189.13854439,62.23644449,10.8916,15.2,1.3894,0.132358,0,0.196104,0.00717835,0.0,0.9491,1.2456399999999999,-20.559438,-20.98358,1.3448,1.3448,1,1.3166,9.52,10.8916,1.5281,-16.5569,-1.4669,,
