FIELD,ID,RA_y,DEC_y,z_50_y,HeII-4687_FLUX,HeII-4687_FLUX_ERR,NeV-3426_FLUX,NeV-3426_FLUX_ERR,Ha_FLUX_y,Ha_FLUX_ERR_y,Hb_FLUX_y,Hb_FLUX_ERR_y,NeIII-3867_FLUX_y,NeIII-3867_FLUX_ERR_y,OII_FLUX_y,OII_FLUX_ERR_y,OIII_FLUX_y,OIII_FLUX_ERR_y,DL,NeV_L_ERR,NeV_L,HeII_L_ERR,HeII_L,id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,restUjohnson,restVjohnson
GN1,37037,189.28702932,62.345863575,1.431757050458373,-99.0,-99.0,0.170766891033182,1.1957076259235702,6.94620213361829,0.562391803057194,2.43800268554984,0.7970830387609521,1.6461871306776799,0.67267333667753,3.45527052129971,0.751584909573459,10.8879159834214,0.8361400752359549,10504.977565223662,1.578729363756502e+41,2.2546875121186513e+40,-1.3071272911818332e+43,-1.3071272911818332e+43,37037,189.28703601,62.3458617,4.75713,4.71,1.4949,1.49892,0,0.134904,0.0436152,0.0,0.77581,0.71003,-20.043521,-20.312447,1.4337,1.4337,1,1.5389,9.2,4.75713,0.0417276,-20.105,-2.0254,,
GN3,37037,189.28702932,62.345863575,1.431757050458373,-99.0,-99.0,0.170766891033182,1.1957076259235702,6.94620213361829,0.562391803057194,2.43800268554984,0.7970830387609521,1.6461871306776799,0.67267333667753,3.45527052129971,0.751584909573459,10.8879159834214,0.8361400752359549,10504.977565223662,1.578729363756502e+41,2.2546875121186513e+40,-1.3071272911818332e+43,-1.3071272911818332e+43,37037,189.28703601,62.3458617,4.75713,4.71,1.4949,1.49892,0,0.134904,0.0436152,0.0,0.77581,0.71003,-20.043521,-20.312447,1.4337,1.4337,1,1.5389,9.2,4.75713,0.0417276,-20.105,-2.0254,,
GN1,37738,189.2811852,62.36328762900001,1.450627992173246,-99.0,-99.0,13.177380172855301,1.30712833935438,45.4352189874349,1.0331382397518,8.09268879458132,0.952066990828847,4.52283402829766,0.6577779748535449,21.9916567805464,0.7587287322395171,75.56912385467899,1.3255802657406501,10676.99332347836,1.7828245343986406e+41,1.7972953354273018e+42,-1.350285382020273e+43,-1.350285382020273e+43,37738,189.28118997,62.36328306,177.5,177.5,3.493,1.63539,0,0.118014,0.025741,0.5,2.59124,4.06057,-22.123335,-23.163199,1.45224,-1.0,2,1.5271,11.07,106.046,1.56586,160.959,-1.5662,,
GN1,37495,189.31189689,62.35440855099998,1.747341340511438,-99.0,-99.0,0.576111189190416,0.8023516320818921,-99.0,-99.0,1.9248544673568602,0.94840459038762,2.54237468799308,0.634072374403314,8.84551158230226,0.6392683038880219,10.9866186020942,1.05500398331356,13442.352361406049,1.734633462762926e+41,1.2455159397492703e+41,-2.1403173614533407e+43,-2.1403173614533407e+43,37495,189.31190514,62.35440067,13.008,19.06,1.059,0.495988,0,0.400938,0.0714892,0.6,0.55972,0.90894,-20.884545,-21.462587,1.74149,-1.0,2,1.7091,9.82,13.008,1.18136,-20.4725,-1.3544,,
GN1,37906,189.31980049,62.36782008000002,1.686337698153359,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.07792266986406,0.8253185816387529,1.4326817753950098,0.5685334201649199,3.71734035165864,0.601595621265645,10.484629140279,0.911247571219425,12865.085415970265,-1.9604373668095155e+43,-1.9604373668095155e+43,-1.9604373668095155e+43,-1.9604373668095155e+43,37906,189.31980863,62.36783145,6.40501,7.949,6.9061,2.08448,0,0.73755,0.183152,0.5,0.41127,0.51141,-20.037146,-20.411539,1.68317,-1.0,2,1.6921,9.31,6.40501,0.669825,-21.2954,-1.6301,,
GN1,37767,189.29601256,62.362755877,1.518116653690198,3.33134917004494,0.45673478439817905,1.52612311748945,0.454641884376928,-99.0,-99.0,3.23187438067096,0.432024655900504,0.49680756875785204,0.264843339006064,1.40256684780914,0.298862627937649,5.5137873455906705,0.49055684720590703,11296.190166871618,6.941061016439012e+40,2.3299467209471125e+41,6.973013520702272e+40,5.0860025551835916e+41,37767,189.29602421,62.36274835,7.22404,4.795,0.9279,0.823328,0,0.12738,0.0296083,0.2,0.22573,0.27627,-18.89332,-19.329368,1.6203,-1.0,3,1.6203,9.08,7.22404,0.334908,-22.5509,-1.4866,,
GN2,12318,189.20668112,62.20353196399999,2.01520450936908,0.47214500379710295,0.624647991197019,0.708855133064751,0.8690621878610799,-99.0,-99.0,1.813346858317,0.596534519251654,2.28468985092156,1.06869472435164,2.68009334372104,0.681356945844072,11.776097756326301,0.689834849284264,16023.59480344774,2.66970449152223e+41,2.1775584751180772e+41,1.91887942084254e+41,1.4503998159086813e+41,12318,189.20668215,62.20352958,10.8751,8.592,1.1616,0.126382,0,0.155448,0.00470991,0.2,0.27052,0.33263,-19.985019,-20.404111,1.9812,-1.0,3,1.9812,9.26,10.8751,2.28891,-25.9199,-1.6067,,
GN2,19913,189.14832276,62.24000089900001,2.010370267224622,10.2543667031061,1.23824467766201,14.721190561539201,1.9115846908682301,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.14280695753656,5.29491267364707,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176463,5.837718029717117e+41,4.495650125810866e+42,3.781429781541944e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.82494,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,
GN7,19913,189.14832276,62.24000089900001,2.010370267224622,10.2543667031061,1.23824467766201,14.721190561539201,1.9115846908682301,-99.0,-99.0,8.45312906279204,1.17207327468415,5.73072479459785,3.14280695753656,5.29491267364707,1.68435626971645,43.629649145302096,1.40445347536979,15976.386947176463,5.837718029717117e+41,4.495650125810866e+42,3.781429781541944e+41,3.131543251628802e+42,19913,189.14828999,62.24000378,836.334,836.334,7.3863,2.13349,1,1.82494,0.424138,0.9,0.83539,1.81505,-22.421223,-23.6744,2.005,2.005,1,1.9111,11.57,1099.85,36.7538,819.552,-0.9377,,
GN2,18197,189.21988615,62.23178554000002,1.359751093923414,-99.0,-99.0,5.981806417646739,3.1346239285722,88.8160672513408,0.873287233807098,11.5928796836098,1.68814044867371,6.64622043156399,1.50359859589052,55.7858724295688,1.28122550834748,111.936710680061,1.86604756846455,9853.326515758772,3.641192359172879e+41,6.948491531457064e+41,-1.1499881701034243e+43,-1.1499881701034243e+43,18197,189.21989591,62.23179425,72.7503,72.7503,0.2,0.164945,2,0.326946,0.0508882,0.3,3.19725,4.13406,-21.841556,-22.224012,1.355,1.355,1,1.3416,9.94,103.295,5.20975,54.7798,-1.4982,,
GN2,20801,189.1476214,62.24377994100001,1.999766095357096,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.63697711758667,0.48025541963525203,2.57748136959462,0.837300607701738,11.304323367513401,0.941712746458528,22.097081896334,0.5609598848643159,15872.90977184183,-2.9842879057030216e+43,-2.9842879057030216e+43,-2.9842879057030216e+43,-2.9842879057030216e+43,20801,189.14760357,62.24377087,22.8898,35.28,0.5964,0.0942632,0,0.29736,0.0113238,0.1,0.74084,1.07162,-21.223335,-21.637226,2.00266,-1.0,2,2.0232,9.6,22.8898,3.11108,-25.542,-1.3737,,
GN7,20801,189.1476214,62.24377994100001,1.999766095357096,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.63697711758667,0.48025541963525203,2.57748136959462,0.837300607701738,11.304323367513401,0.941712746458528,22.097081896334,0.5609598848643159,15872.90977184183,-2.9842879057030216e+43,-2.9842879057030216e+43,-2.9842879057030216e+43,-2.9842879057030216e+43,20801,189.14760357,62.24377087,22.8898,35.28,0.5964,0.0942632,0,0.29736,0.0113238,0.1,0.74084,1.07162,-21.223335,-21.637226,2.00266,-1.0,2,2.0232,9.6,22.8898,3.11108,-25.542,-1.3737,,
GN2,11502,189.26094304,62.19919875099998,1.991615710773547,0.21400333743476901,0.9426351470596199,1.9815715081947698,1.42781070132196,-99.0,-99.0,2.53627126399728,0.881124717455418,3.08738512788138,1.34454013137625,7.626524605576909,1.04177224436376,11.795138603283402,1.0460217598183101,15793.44818323183,4.2610534459748536e+41,5.9136565481833795e+41,2.8131311370313723e+41,6.386558509347663e+40,11502,189.26094297,62.19919674,15.3729,16.49,1.8393,0.0982781,0,0.255228,0.00649476,0.2,0.69838,0.77228,-20.756107,-21.008899,1.986,1.986,1,1.9626,9.49,15.3729,1.13715,-24.8012,-1.6751,,
