,ID,LOG_X_FLUX,LOG_X_LUM,X_CLASS
76,37107,-15.38934,42.957128,b'AGN'
150,37468,-14.89279,44.079181,b'AGN'
194,37623,-13.872895,43.704151,b'AGN'
226,37738,-13.617983,44.488551,b'AGN'
248,37813,-15.173277,42.661813,b'AGN'
299,37960,-14.050122,44.307496,b'AGN'
327,38057,-15.401209,42.905256,b'AGN'
382,38220,-14.412289,43.986772,b'AGN'
391,8140,-16.130768,41.784617,b'AGN'
398,9211,-16.011441,41.744293,b'AGN'
432,10512,-15.69037,42.281033,b'AGN'
438,10657,-16.069051,42.332438,b'AGN'
451,11115,-15.694649,42.060698,b'AGN'
469,11487,-15.524329,43.646404,b'AGN'
478,11785,-15.493495,43.264818,b'AGN'
488,12006,-15.527244,41.878522,b'AGN'
519,12511,-15.815309,41.988559,b'AGN'
523,12541,-15.954677,42.103804,b'AGN'
554,13032,-15.982967,41.206826,b'Galaxy'
586,13618,-16.173925,40.93852,b'Galaxy'
606,14140,-15.876148,42.558709,b'AGN'
610,14283,-15.284833,43.307496,b'AGN'
614,14319,-16.099633,41.149219,b'AGN'
643,14784,-15.17134,41.74351,b'AGN'
668,15178,-15.235077,41.732394,b'AGN'
677,15490,-14.931814,42.756636,b'AGN'
692,15809,-15.931814,41.09691,b'Galaxy'
747,16736,-16.216096,39.285557,b'Galaxy'
759,16879,-15.752027,43.499687,b'AGN'
773,17194,-15.201349,42.850033,b'AGN'
809,17829,-14.033389,43.607455,b'AGN'
815,17940,-16.316953,43.041393,b'AGN'
834,18197,-16.210419,41.968483,b'AGN'
836,18224,-13.701147,44.117271,b'AGN'
874,18849,-16.281498,41.755112,b'AGN'
876,18898,-16.293282,41.290035,b'Galaxy'
899,19221,-15.89279,39.923762,b'Galaxy'
926,19591,-16.257275,42.307496,b'Galaxy'
932,19651,-15.39794,41.127105,b'Galaxy'
949,19913,-14.723538,43.920123,b'AGN'
958,20051,-15.525784,41.765669,b'AGN'
969,20228,-14.079877,43.238046,b'AGN'
1027,21231,-16.196543,42.08636,b'AGN'
1030,21285,-16.171985,41.39794,b'Galaxy'
1031,21290,-16.12436,42.640481,b'AGN'
1040,21414,-16.151195,42.915927,b'AGN'
1048,21543,-16.152427,42.068186,b'AGN'
1054,21593,-16.350665,41.390935,b'Galaxy'
1065,21731,-16.158015,40.623249,b'Galaxy'
1109,22548,-14.866461,43.792392,b'AGN'
1140,23082,-16.149354,41.583199,b'Galaxy'
1164,23423,-16.080922,41.371068,b'Galaxy'
1172,23631,-15.37059,42.170262,b'AGN'
1182,23862,-13.528708,43.592177,b'AGN'
1221,24780,-16.126679,40.933993,b'Galaxy'
1231,24971,-16.094204,41.997386,b'AGN'
1249,25505,-14.647817,43.588832,b'AGN'
1263,26172,-16.052566,41.775246,b'AGN'
1265,26193,-15.832683,41.908485,b'AGN'
1269,26383,-16.104025,41.064458,b'Galaxy'
1293,23862,-13.528708,43.592177,b'AGN'
1300,25387,-15.268411,42.612784,b'AGN'
1301,25505,-14.647817,43.588832,b'AGN'
1303,25550,-14.076756,44.342423,b'AGN'
1307,25947,-15.543634,42.146128,b'AGN'
1309,26172,-16.052566,41.775246,b'AGN'
1310,26193,-15.832683,41.908485,b'AGN'
1320,26747,-15.175874,41.755112,b'AGN'
1325,26823,-15.860121,40.745855,b'Galaxy'
1359,27532,-14.703335,42.0,b'AGN'
1360,27567,-15.379864,41.904716,b'AGN'
1384,28005,-15.950782,41.113943,b'AGN'
1385,28015,-15.605548,40.817565,b'AGN'
1391,28121,-13.473661,44.227887,b'AGN'
1464,30044,-15.850781,40.804139,b'Galaxy'
1477,30204,-13.694649,44.255273,b'AGN'
1529,31179,-14.709965,43.220108,b'AGN'
1638,32562,-15.856985,42.029384,b'AGN'
1712,33169,-15.274905,42.056905,b'AGN'
1719,33231,-15.332547,42.367356,b'AGN'
1770,33579,-14.703335,43.631444,b'AGN'
1784,33691,-14.057992,44.480007,b'AGN'
1790,33724,-15.462181,41.544068,b'AGN'
1937,34999,-14.703335,43.167317,b'AGN'
1958,35241,-15.385103,43.30963,b'AGN'
1982,35469,-15.227678,43.330414,b'AGN'
2017,35795,-14.769551,43.123852,b'AGN'
2087,36433,-14.987163,42.992111,b'AGN'
2147,37232,-15.488117,42.176091,b'AGN'
2206,16628,-15.29073,43.390935,b'AGN'
2212,16827,-15.328827,43.25042,b'AGN'
2293,18849,-16.281498,41.755112,b'AGN'
2303,19082,-15.088842,43.760422,b'AGN'
2332,19558,-15.9914,41.837588,b'AGN'
2343,19833,-14.655608,42.502427,b'AGN'
2356,20051,-15.525784,41.765669,b'AGN'
2367,20228,-14.079877,43.238046,b'AGN'
2438,21285,-16.171985,41.39794,b'Galaxy'
2439,21290,-16.12436,42.640481,b'AGN'
2463,21593,-16.350665,41.390935,b'Galaxy'
2471,21683,-15.59346,41.570543,b'Galaxy'
2481,21735,-15.514279,41.677607,b'AGN'
2533,22547,-15.954677,42.093422,b'AGN'
2534,22548,-14.866461,43.792392,b'AGN'
2542,22613,-16.077275,41.103804,b'Galaxy'
2558,22815,-15.928118,41.788168,b'Galaxy'
2578,23082,-16.149354,41.583199,b'Galaxy'
2580,23104,-15.754487,42.012837,b'AGN'
2631,23862,-13.528708,43.592177,b'AGN'
2653,24192,-14.767004,43.866287,b'AGN'
2677,24582,-16.057,41.726727,b'AGN'
2691,24742,-15.294136,42.378398,b'AGN'
2722,25387,-15.268411,42.612784,b'AGN'
2729,25505,-14.647817,43.588832,b'AGN'
2734,25550,-14.076756,44.342423,b'AGN'
2752,25947,-15.543634,42.146128,b'AGN'
2758,26172,-16.052566,41.775246,b'AGN'
2759,26193,-15.832683,41.908485,b'AGN'
2765,26304,-14.543634,43.643453,b'AGN'
2781,26747,-15.175874,41.755112,b'AGN'
2788,26823,-15.860121,40.745855,b'Galaxy'
2834,27532,-14.703335,42.0,b'AGN'
2836,27567,-15.379864,41.904716,b'AGN'
2862,28005,-15.950782,41.113943,b'AGN'
2864,28015,-15.605548,40.817565,b'AGN'
2871,28121,-13.473661,44.227887,b'AGN'
3074,28149,-15.377786,42.318063,b'AGN'
3078,28356,-16.023192,41.071882,b'Galaxy'
3105,29098,-14.465974,44.113943,b'AGN'
3132,30044,-15.850781,40.804139,b'Galaxy'
3160,30510,-14.90309,42.561101,b'AGN'
3286,32562,-15.856985,42.029384,b'AGN'
3327,33169,-15.274905,42.056905,b'AGN'
3368,33579,-14.703335,43.631444,b'AGN'
3386,33724,-15.462181,41.544068,b'AGN'
3395,33777,-15.367543,43.103804,b'AGN'
3445,34358,-14.007005,43.941014,b'AGN'
3504,34904,-15.191114,,b'Star'
3545,35469,-15.227678,43.330414,b'AGN'
3613,9344,-15.91364,39.432969,b'Galaxy'
3640,11124,-15.527244,41.352183,b'Galaxy'
3642,11279,-15.49485,42.523746,b'AGN'
3649,11460,-14.467246,42.614897,b'AGN'
3719,13429,-15.129011,42.49276,b'AGN'
3725,13502,-16.002614,41.980003,b'AGN'
3738,13636,-16.043351,41.029384,b'Galaxy'
3750,13777,-15.580044,42.369216,b'AGN'
3762,13970,-15.163043,42.991669,b'AGN'
3774,14184,-15.673664,41.923244,b'AGN'
3780,14302,-15.694649,41.294466,b'AGN'
3781,14319,-16.099633,41.149219,b'AGN'
3791,14533,-15.793174,41.622214,b'Galaxy'
3807,14807,-16.298432,41.691081,b'Galaxy'
3809,14850,-15.931814,42.056905,b'AGN'
3812,14982,-16.005243,41.10721,b'Galaxy'
3829,15379,-15.860121,42.598791,b'AGN'
3835,15493,-15.625252,43.247973,b'AGN'
3844,15633,-15.542118,41.436163,b'Galaxy'
3860,15976,-15.089909,43.811575,b'AGN'
3876,16189,-16.191114,41.113943,b'AGN'
3916,16879,-15.752027,43.499687,b'AGN'
3935,17194,-15.201349,42.850033,b'AGN'
3945,17347,-15.412289,41.851258,b'AGN'
3959,17541,-14.69897,,b'Star'
3963,17596,-15.8041,41.285557,b'AGN'
3975,17829,-14.033389,43.607455,b'AGN'
3980,17940,-16.316953,43.041393,b'AGN'
4042,19341,-14.974694,43.287802,b'AGN'
4051,19464,-15.129011,43.283301,b'AGN'
